jpkanji,hira,simplified,kind,pinyin,province_id,latitude,longitude
合肥,ごうひ,合肥,市,He fei,11,,
福州,ふくしゅう,福州,市,Fu Zhou,13,,
蘭州,らんしゅう,兰州,市,Lan zhou,22,,
広州,こうしゅう,广州,市,Guang zhou,15,,
貴陽,きよう,贵阳,市,Gui yang,17,,
海口,かいこう,海口,市,Hai kou,16,,
石家荘,せっかそう,石家庄,市,Shi jia zhuang,4,,
ハルビン,はるびん,哈尔滨,市,Ha’er bin,1,,
鄭州,ていしゅう,郑州,市,Zheng zhou,5,,
武漢,ぶかん,武汉,市,Wu han,9,,
長沙,ちょうさ,长沙,市,Chang sha,8,,
南京,なんきん,南京,市,Nan jing,10,,
南昌,なんしょう,南昌,市,Nan chang,14,,
長春,ちょうしゅん,长春,市,Chang chun,2,,
瀋陽,しんよう,沈阳,市,Shen Yang,3,,
西寧,せいねい,西宁,市,Xi ning,21,,
西安,せいあん,西安,市,Xi’an,20,,
済南,さいなん,济南,市,Ji nan,6,,
太原,たいげん,太原,市,Tai yuan,7,,
成都,せいと,成都,市,Cheng du,19,,
台北,たいほく,台北,市,Tai bei,23,,
昆明,こんめい,昆明,市,Kun ming,18,,
杭州,こうしゅう,杭州,市,Hang zhou,12,,
南寧,なんねい,南宁,市,Nan ning,27,,
フフホト,ふふほと,呼和哈特,市,Hu he hao te,24,,
銀川,ぎんせん,银川,市,Yin chuan,26,,
ウルムチ,うるむち,乌鲁木齐,市,Wu lu mu qi,25,,
ラサ,らさ,拉萨,市,La sa,28,,
北京,ぺきん,北京,市,Bei jing,31,,
重慶,じゅうけい,重庆,市,Chong qing,34,,
上海,しゃんはい,上海,市,Shang hai,32,,
天津,てんしん,天津,市,Tian jin,33,,
マカオ特別行政区,まかお,厦门,特别行政区,Xia men,30,,
香港特別行政区,ほんこん,香港,特别行政区,Xiang gang,29,,
安慶,あんけい,安庆,市,An qing,11,,
黄山,こうざん,黄山,市,Huang shan,11,,
宿州,しゅくしゅう,宿州,市,Su zhou,11,,
唐山,とうざん,唐山,市,Tang shan,4,,
大连,だいれん,大连,市,Da lian,3,,
邯鄲,かんたん,邯郸,市,Han dan,4,,
保定,ほてい,保定,市,Bao ding,4,,
張家口,ちょうかこう,张家口,市,Zhang jia kou,4,,
承徳,しょうとく,承德,市,Cheng de,4,,
廊坊,ろうぼう,廊坊,市,Lang fang,4,,
斉斉哈爾,ちちはる,齐齐哈尔,市,Qi qi har,1,,
牡丹江,ぼたんこう,牡丹江,市,Mu dan jiang,1,,
鶴壁,かくへき,鹤壁,市,He bi,5,,
許昌,きょしょう,许昌,市,Xu chang,5,,
駐馬店,ちゅうばてん,驻马店,市,Zhu ma dian,5,,
大同,だいどう,大同,市,Da tong,7,,
長治,ちょうじ,长治,市,Chang zhi,7,,
運城,うんじょう,运城,市,Yun cheng,7,,
青島,ちんたお,青岛,市,Qing dao,6,,
寧波,にんぽー,宁波,市,Ning bo,12,,
深圳,しんせん,深圳,市,Shen zhen,15,,
