chcity_id,lati,longi,prov,popul,size,dense,income,r_price,latitude_id,jpkanji
1,31.751,117.332,安徽省,757.96,,,89022,12146.95,32,合肥
2,27.9958,116.353,福建省,702.66,,,83175,13530.3,16,福州
3,36.0607,103.831,甘粛省,328.48,,,85575,7923.93,49,兰州
4,23.1302,113.259,広東省,927.69,,,111839,20013.6,1,广州
5,26.6173,106.63,貴州省,418.45,,,82685,9360.76,11,贵阳
6,20.0424,110.341,海南省,177.61,,,77632,13233.06,1,海口
7,38.04,114.47,河北省,981.6,,,75114,10452.42,57,石家庄
8,45.7657,126.616,黒竜江省,951.54,,,71771,9208.3,88,哈尔滨
9,34.7592,113.652,河南省,863.9,,,80963,8442.62,44,郑州
10,30.5951,114.3,湖北省,883.73,,,88327,13108.25,27,武汉
11,28.1979,112.971,湖南省,728.86,,,93293,8206.49,17,长沙
12,32.061,118.792,江蘇省,696.9,,,111071,22379.87,33,南京
13,28.6793,115.889,江西省,531.88,,,82672,8560.79,19,南昌
14,43.8882,125.318,吉林省,751.29,,,80425,8245.16,80,长春
15,41.8041,123.428,遼寧省,745.99,,,82067,8892.07,72,沈阳
16,36.6225,101.772,青海省,207.38,,,84071,7313.46,51,西宁
17,34.3468,108.937,陝西省,986.87,,,87125,10171.01,42,西安
18,36.6507,117.114,山東省,655.9,,,91651,11930,51,济南
19,37.8562,112.556,山西省,376.72,,,80825,11058.6,56,太原
20,30.6624,104.063,四川省,1476.05,,,88011,9866.6,27,成都
21,25.0463,121.519,台湾省,,,,,,6,台北
22,25.0438,102.714,雲南省,571.67,,,80253,10472.2,5,昆明
23,30.249,120.205,浙江省,774.1,,,106709,23917.29,25,杭州
24,23.1169,108.301,広西チワン族自治区,770.82,,,83452,7782.17,1,南宁
25,40.824,111.684,内モンゴル自治区,245.85,,,71387,8345.54,68,呼和哈特
26,38.4829,106.212,寧夏回族自治区,193.42,,,87291,5874.82,58,银川
27,43.8244,87.6139,新疆ウイグル自治区,55.44,,,85990,8357.46,80,乌鲁木齐
28,29.6554,91.1705,チベット自治区,222.26,,,126936,,23,拉萨
29,39.9062,116.391,北京市,1375.8,,,149843,34142.89,64,北京
30,29.5586,106.549,重慶市,3403.64,,,81764,8066.86,23,重庆
31,31.2253,121.489,上海市,1462.38,,,142983,26890.08,29,上海
32,39.1236,117.198,天津市,1081.63,,,103931,16054.64,61,天津
33,24.4792,118.039,マカオ特別行政区,242.53,,,85166,20906.93,2,厦门
34,22.3492,114.186,香港特別行政区,,,,,,1,香港
35,30.5359,117.105,安徽省,,,,,,27,安庆
36,30.1344,118.161,安徽省,,,,,,25,黄山
37,31.3017,120.581,安徽省,,,,,,30,宿州
38,39.6293,118.174,河北省,,,,,,63,唐山
39,38.9300,121.471,遼寧省,595.21,,,87592,11546.3,65,大连
40,36.5833,114.483,河北省,,,,,,51,邯郸
41,38.858,115.491,河北省,,,,,,60,保定
42,40.8228,114.881,河北省,,,,,,68,张家口
43,41.4012,117.184,河北省,,,,,,70,承德
44,39.5128,116.7,河北省,,,,,,63,廊坊
45,47.3524,123.916,黒竜江省,,,,,,94,齐齐哈尔
46,44.5498,129.626,黒竜江省,,,,,,83,牡丹江
47,35.748,114.292,河南省,,,,,,47,鹤壁
48,34.0457,113.823,河南省,,,,,,41,许昌
49,33.0116,114.016,河南省,,,,,,37,驻马店
50,40.0922,113.295,山西省,,,,,,65,大同
51,36.1829,113.099,山西省,,,,,,49,长治
52,35.0276,111.002,山西省,,,,,,45,运城
53,36.1363,120.085,山東省,817.79,,,90840,12624.12,49,青岛
54,29.8700,121.432,浙江省,602.96,,,102325,15142.05,24,宁波
55,22.5556,113.774,広東省,454.7,,,111709,54132.44,1,深圳
