chcity_id,temp_ave,max_temp,max_temp_month,min_temp,min_temp_month,middle_temp,rain_total,snow_total,warmin,cldiv_id,jpkanji
1,15.8,32.3,7,-0.7,1,15.8,990.5,,,,合肥
2,20.2,34.5,7,8.5,1,21.5,1391.7,,,,福州
3,,29.3,7,-10.1,1,9.6,255.7,,,,蘭州
4,22.4,33.2,7,10.7,1,22.0,1801.4,,,,広州
5,15.7,28.5,8,2.7,1,15.6,1117.7,,,,貴陽
6,,32.1,7,13.4,1,22.8,1651.9,,,,海口
7,,31.8,7,-6.6,1,12.6,517.1,,,,石家荘
8,,28.0,7,-23.9,1,2.1,502.3,,,,ハルビン
9,14.5,31.8,7,-43,1,-5.6,632.4,,,,鄭州
10,17.1,32.9,7,1.0,1,17.0,1315.8,,,,武漢
11,17.5,33.5,7,2.7,1,18.1,1468.8,,,,長沙
12,15.9,32.2,7,-0.7,1,15.8,1090.6,,,,南京
13,18.0,33.7,7,3.0,1,18.4,1613.7,,,,南昌
14,,27.6,7,-19.7,1,4.0,570.4,,,,長春
15,8.5,29.1,7,-16.1,1,6.5,690.3,,,,瀋陽
16,6.7,24.6,7,-13.6,1,5.5,373.8,,,,西寧
17,14.1,32.1,7,-3.8,1,14.2,561.0,,,,西安
18,14.7,31.9,7,-3.9,1,14.0,672.7,,,,済南
19,10.1,29.3,7,-11.6,1,8.9,431.2,,,,太原
20,16.2,29.7,8,2.8,1,16.3,564.1,,,,成都
21,,34.3,7,13.9,1,24.1,2405.1,,,,台北
22,,24.4,5,2.3,1,13.4,1011.2,,,,昆明
23,17.0,33.6,7,1.8,1,17.7,1438,,,,杭州
24,,32.9,7,10.0,1,21.5,1309.8,,,,南寧
25,,28.5,7,-16.8,1,5.9,397.9,,,,フフホト
26,9.1,29.7,7,-14.1,1,7.8,193.2,,,,銀川
27,7.2,30.1,7,-16.6,1,6.8,258.3,,,,ウルムチ
28,,23.2,6,-9.0,1,7.1,267.4,,,,ラサ
29,12.9,31.4,7,-7.5,1,12.0,532.0,,,,北京
30,18.4,33.2,8,6.2,1,19.7,1108,,,,重慶
31,17.1,32.2,7,2.1,1,17.2,1166.1,,,,上海
32,12.8,31.0,7,-7.5,1,11.8,544.3,,,,天津
33,,31.5,7,12.2,1,21.9,2120.0,,,,マカオ特別行政区
34,,32.1,7,11.3,1,21.7,2382,,,,香港特別行政区
35,,,,,,,,,,,安慶
36,,,,,,,,,,,黄山
37,,,,,,,,,,,宿州
38,,,,,,,,,,,唐山
39,,,,,,,,,,,大连
40,,,,,,,,,,,邯鄲
41,,,,,,,,,,,保定
42,,,,,,,,,,,張家口
43,,,,,,,,,,,承徳
44,,,,,,,,,,,廊坊
45,,28.0,7,-23.7,1,2.2,415.2,,,,斉斉哈爾
46,,,,,,,,,,,牡丹江
47,,,,,,,,,,,鶴壁
48,,,,,,,,,,,許昌
49,,,,,,,,,,,駐馬店
50,,,,,,,,,,,大同
51,,,,,,,,,,,長治
52,,,,,,,,,,,運城
53,,28.4,8,-3.2,1,12.6,709.6,,,,青島
54,17.2,33.5,7,2.4,1,18.0,1431.4,,,,寧波
55,,32.2,7,11.4,1,21.8,1928.4,,,,深圳
