Lati,longi,pref,r_price,income,jpcity_id,popul,size,dense,latitude_id,jpkanji
43.0614,141.355,北海道,,3149267,1,197.1,,,77, 札幌
40.8869,140.59,青森県,,3138810,2,28.2,,,68, 青森
39.7021,141.155,岩手県,,3153594,3,29.2,,,63, 盛岡
38.2678,140.869,宮城県,,3429927,4,109.1,,,58, 仙台
39.6899,140.343,秋田県,,2936088,5,30.6,,,63, 秋田
38.4747,140.083,山形県,,2750360,6,24.9,,,58, 山形
37.7545,140.459,福島県,,2719169,7,28.9,,,56, 福島
36.3658,140.471,茨城県,,3446041,8,23.7,,,50, 水戸
36.555,139.883,栃木県,,3452802,9,51.9,416.85,,51, 宇都宮
36.3893,139.063,群馬県,,3320141,10,33.6,,,50, 前橋
35.9754,139.416,埼玉県,,3919102,11,131.4,,,48, さいたま
35.6077,140.104,千葉県,,3842550,12,98.0,,,47, 千葉
36.092,139.95,茨城県,,4015439,13,27.0,,,47, つくば
35.4622,139.598,神奈川県,,4066495,14,375.0,,,46, 横浜
37.6452,138.767,新潟県,,3041375,15,78.9,726.45,,55, 新潟
36.6468,137.218,富山県,,2931732,16,,,,51, 富山
36.578,136.648,石川県,,3331793,17,,,,51, 金沢
35.9263,136.607,福井県,,3184836,18,,,,48, 福井
35.6653,138.571,山梨県,,3404191,19,,,,47, 甲府
36.1144,138.032,長野県,,3254086,20,,,,49, 長野
35.7867,137.046,岐阜県,,3231018,21,,,,48, 岐阜
34.9333,138.096,静岡県,,3208150,22,,,,44, 静岡
35.1851,136.9,愛知県,,4001454,23,,,,45, 名古屋
34.7342,136.515,三重県,,3270595,24,,,,43, 津
35.0047,135.869,滋賀県,,3531360,25,,,,45, 大津
35.021,135.756,京都府,,3590593,26,,,,45, 京都
34.6199,135.49,大阪府,,3373027,27,,,,43, 大阪
34.6932,135.194,兵庫県,,3656094,28,,,,43, 神戸
34.2963,135.882,奈良県,,3781398,29,,,,42, 奈良
33.807,135.593,和歌山県,,3257036,30,,,,40, 和歌山
35.3555,133.868,鳥取県,,2772532,31,,,,46, 鳥取
35.4681,133.049,島根県,,2920068,32,,,,46, 松江
34.8581,133.776,岡山県,,3281518,33,,,,44, 岡山
34.3916,132.452,広島県,,3452089,34,,,,42, 広島
34.238,131.587,山口県,,3063723,35,,,,41, 山口
33.9196,134.251,徳島県,,3298489,36,,,,40, 徳島
34.3426,134.047,香川県,,3221346,37,,,,42, 高松
35.6402,139.613,愛媛県,,3075903,38,,,,47, 松山
33.6569,133.561,高知県,,3008612,39,,,,39, 高知
33.6251,130.618,福岡県,,3539748,40,,,,39, 福岡
33.3115,130.127,佐賀県,,3094472,41,,,,38, 佐賀
33.1155,129.787,長崎県,,2943603,42,,,,37, 長崎
32.645,130.634,熊本県,,3208312,43,,,,35, 熊本
33.182,131.427,大分県,,3090780,44,,,,37, 大分
32.0977,131.295,宮崎県,,2981578,45,,,,33, 宮崎
31.5216,130.547,鹿児島県,,3027060,46,,,,31, 鹿児島
26.2139,127.692,沖縄県 ,,3175199,47,32.2,,,9, 那覇
45.3474,141.741,北海道,,3063926,48,3.4,,,86, 稚内
45.2263,141.872,北海道,,7656427,49,0.3,,,85, 猿払
44.532,142.278,北海道,,2747494,50,0.4,,,83, 美深
42.794,141.705,北海道,,4598234,51,0.8,,,76, 安平
42.3683,140.911,北海道,,2881969,52,4.6,,,74, 室蘭
41.8598,140.8,北海道,,2806295,53,25.6,,,72, 函館
43.7504,142.165,北海道,,2809155,54,33.4,,,80, 旭川
42.7928,140.544,北海道,,3184429,55,0.5,,,76, ニセコ
40.5094,141.431,青森県,,2822313,56,22.8,,,67, 八戸
39.1517,140.798,岩手県,,2609434,57,,,,61, 奥州
38.9147,139.836,山形県,,2642547,58,,,,60, 酒田
38.3076,139.635,新潟県,,2432659,59,,,,58, 村上
37.5085,139.93,福島県,,2809438,60,,,,55, 会津若松
37.0504,140.888,福島県,,3025665,61,,,,53, いわき
36.7473,139.622,栃木県,,2697509,62,,,,51, 日光
36.2309,137.965,長野県,,3254086,63,,,,49, 松本
35.8728,140.011,千葉県,,3539311,64,,,,48, 我孫子
35.7129,139.564,東京都,,5366494,65,14.7,,,47, 武蔵野
35.6869,139.739,東京都,,9991758,66,6.6,,,47, 千代田
35.6528,139.71,東京都,,11264535,67,26.1,,,47, 港
35.3296,139.544,神奈川県,,4722521,68,17.2,,,46, 鎌倉
35.4671,138.863,山梨県,,5093448,69,1.0,,,46, 忍野
34.9221,134.537,和歌山県,,3544859,70,,,,44, 新宮
34.7381,135.346,兵庫県,,4428372,71,,,,43, 西宮
34.7862,135.474,大阪府,,4259602,72,,,,44, 豊中
34.7036,137.735,静岡県,,3345700,73,,,,43, 浜松
33.1030,139.697,東京都,,2936080,74,,,,37, 八丈
24.0276,140.532,東京都,,3934454,75,,,,1, 小笠原
32.8289,132.754,高知県,,2521208,76,,,,36, 土佐清水
32.1954,130.625,熊本県,,2627170,77,,,,33, 人吉
30.3482,130.384,鹿児島県,,2531831,78,,,,26, 屋久島
28.4764,129.281,鹿児島県,,2690248,79,,,,18, 奄美
24.8462,125.162,沖縄県,,2613786,80,,,,4, 宮古島
24.4713,124.065,沖縄県,,2672143,81,,,,2, 石垣
