jpcity_id,temp_ave,rain_total,snow_total,warmin,cldiv_id,max_temp,max_temp_month,min_temp,min_temp_month,middle_temp,jpkanji
1,8.9,1106.5,597,,,26.4,8,-7.0,1,9.7,札幌
2,10.4,1300.1,669,,,27.7,8,-3.9,1,11.9,青森
3,10.2,1266,272,,,28.3,8,-5.6,1,11.4,盛岡
4,12.4,1254.1,71,,,27.9,8,-1.7,1,13.1,仙台
5,11.7,1686.2,377,,,29.0,8,-2.5,1,13.3,秋田
6,11.7,1163,426,,,30.4,8,-3.4,1,13.5,山形
7,13.0,1166,189,,,30.4,8,-1.8,1,14.3,福島
8,13.63,1353.8,15,,,29.6,8,-2.2,1,13.7,水戸
9,13.8,1493.1,28,,,30.5,8,-2.7,1,13.9,宇都宮
10,14.6,1248.5,24,,,31.3,8,-0.8,1,15.3,前橋
11,14.8,1346,,,,31.5,8,-0.6,2,15.5,さいたま
12,15.71,1388,8,,,30.5,8,1.9,1,16.2,千葉
13,13.8,1282.9,14,,,30.2,8,-3.2,1,13.5,つくば
14,15.8,1688.6,13,,,30.6,8,2.3,1,16.5,横浜
15,13.9,1821,217,,,30.6,8,0.1,2,15.4,新潟
16,10.3,2300,383,,,30.9,8,-0.1,1,15.4,富山
17,14.6,2398.9,281,,,30.9,8,0.9,1,15.9,金沢
18,14.5,2237.6,286,,,31.8,8,0.1,1,16.0,福井
19,14.7,1135.2,29,,,32.5,8,-2.4,1,15.1,甲府
20,11.9,932.7,263,,,31.0,8,-4.1,1,13.5,長野
21,,1827.5,47,,,33.0,8,0.5,1,16.8,岐阜
22,16.5,2324.9,0.2,,,30.8,8,1.8,1,16.3,静岡
23,15.8,1535.3,16,,,32.8,8,0.8,1,16.8,名古屋
24,,1581.3,,,,31.2,8,1.9,1,16.6,津
25,14.99,1544.1,,,,32.2,8,0.5,1,16.4,大津
26,15.9,1491.3,19,,,33.3,8,1.2,1,17.3,京都
27,16.9,1279,3,,,33.4,8,2.8,1,18.1,大阪
28,16.7,1216.2,2,,,31.8,8,2.7,1,17.3,神戸
29,,1316,8,,,32.6,8,-0.2,1,16.2,奈良
30,16.7,1316.9,2,,,32.4,8,2.6,1,17.5,和歌山
31,14.9,1914,214,,,32.2,8,0.7,2,16.5,鳥取
32,14.9,1787.2,89,,,26.8,8,1.0,2,13.9,松江
33,16.2,1105.9,3,,,32.7,8,1.1,1,16.9,岡山
34,16.3,1537.6,12,,,32.5,8,1.7,1,17.1,広島
35,,1886.8,23,,,32.1,8,0.2,1,16.2,山口
36,,1453.8,,,,31.9,8,2.7,1,17.3,徳島
37,16.3,1082.3,3,,,32.4,8,1.6,1,17.0,高松
38,16.5,1314.9,2,,,32.1,8,2.3,1,17.2,松山
39,17.0,2547.6,,,,31.9,8,1.6,1,16.8,高知
40,17.0,1612.3,4,,,32.1,8,3.5,1,17.8,福岡
41,16.5,1870.1,6,,,32.5,8,1.3,1,16.9,佐賀
42,,1857.7,4,,,31.7,8,3.8,1,17.8,長崎
43,16.9,1985.9,,,,33.2,8,1.2,1,17.2,熊本
44,16.39,1644.7,2,,,31.8,8,2.2,1,17.0,大分
45,17.4,2518.7,,,,31.4,7,2.6,1,17.0,宮崎
46,18.6,2265.4,4,,,32.5,8,4.6,1,18.6,鹿児島
47,23.1,2040.8,,,,31.8,7,14.6,1,23.2,那覇
48,6.8,1062.7,,,,22.3,8,-7.1,2,7.6,稚内
49,,,,,,,,,,,猿払
50,,,,,,,,,,,美深
51,,,,,,,,,,,安平
52,,,,,,,,,,,室蘭
53,,,,,,,,,,,函館
54,6.9,1042,743,,,26.3,8,-12.7,2,6.8,旭川
55,,,,,,,,,,,ニセコ
56,,,,,,,,,,,八戸
57,,,,,,,,,,,奥州
58,,,,,,,,,,,酒田
59,,,,,,,,,,,村上
60,,,,,,,,,,,会津若松
61,13.4,1408.9,,,,27.5,8,-0.5,1,13.5,いわき
62,,,,,,,,,,,日光
63,,,,,,,,,,,松本
64,,,,,,,,,,,我孫子
65,,,,,,,,,,,東京都武蔵野
66,15.4,1528.8,11,,,30.8,8,0.9,1,15.9,東京都千代田
67,,,,,,,,,,,東京都港
68,,,,,,,,,,,鎌倉
69,,,,,,,,,,,忍野
70,16.9,3126.8,,,,30.4,8,3.3,1,16.9,新宮
71,,,,,,,,,,,西宮
72,,,,,,,,,,,豊中
73,,,,,,,,,,,浜松
74,,,,,,,,,,,八丈
75,23.2,1292.5,,,,30.0,7,15.3,2,22.7,小笠原
76,,,,,,,,,,,土佐清水
77,,,,,,,,,,,人吉
78,,,,,,,,,,,屋久島
79,,,,,,,,,,,奄美
80,23.59,2021.1,,,,31.2,8,16.0,1,23.6,宮古島
81,,,,,,,,,,,石垣
