id,name,sim_name
1,北海道,北海道
2,青森県,青森县
3,岩手県,岩手县
4,宮城県,宫城县
5,秋田県,秋田县
6,山形県,山形县
7,福島県,福岛县
8,茨城県,茨城县
9,栃木県,枥木县
10,群馬県,群马县
11,埼玉県,埼玉县
12,千葉県,千叶县
13,東京都,东京都
14,神奈川県,神奈川县
15,新潟県,新潟县
16,富山県,富山县
17,石川県,石川县
18,福井県,福井县
19,山梨県,山梨县
20,長野県,长野县
21,岐阜県,岐阜县
22,静岡県,静冈县
23,愛知県,爱知县
24,三重県,三重县
25,滋賀県,滋贺县
26,京都府,京都府
27,大阪府,大阪府
28,兵庫県,平库县
29,奈良県,奈良县
30,和歌山県,和歌山县
31,鳥取県,鸟取县
32,島根県,岛根县
33,岡山県,冈山县
34,広島県,广岛县
35,山口県,山口县
36,徳島県,德岛县
37,香川県,香川县
38,愛媛県,爱媛县
39,高知県,高知县
40,福岡県,福冈县
41,佐賀県,佐贺县
42,長崎県,长崎县
43,熊本県,熊本县
44,大分県,大分县
45,宮崎県,宫崎县
46,鹿児島県,鹿儿岛县
47,沖縄県 ,冲绳县
