Jpkanji,Simplified,Pinyin
黒竜江省,黑龙江省,Hei long jiang
吉林省,吉林省,Ji lin
遼寧省,连宁省,Liao ning
河北省,河北省,He bei
河南省,河南省,He nan
山東省,山东省,Shan dong
山西省,山西省,Shan xi
湖南省,湖南省,Hu nan
湖北省,湖北省,Hu bei
江蘇省,江苏省,Jiang su
安徽省,安徽省,An hui
浙江省,浙江省,Zhe jiang
福建省,福建省,Fu jian
江西省,江西省,Jiang xi
広東省,广东省,Guang dong
海南省,海南省,Hai nan
貴州省,贵州省,Gui zhou
雲南省,云南省,Yun nan
四川省,四川省,Si chuan
陝西省,陕西省,Shan xi
青海省,青海省,Qing hai
甘粛省,甘肃省,Gan su
台湾省,台湾省,Tai wan
内モンゴル自治区,内蒙古自治区,Nei mong gu
新疆ウイグル自治区,新疆维吾尔族自治区,Xin jiang Wei wu er zu
寧夏回族自治区,宁夏回族自治区,Ning xia Hui zu
広西チワン族自治区,广西壮族自治区,Guang xi Zhuang zu
チベット自治区,西藏自治区,Xi zang (Tibet)
香港特別行政区,香港特别行政区,Xiang gang(Hong Kong)
マカオ特別行政区,澳门特别行政区,Ao men(Macau)
北京市,北京市,Bei jing
上海市,上海市,Shang hai
天津市,天津市,Tian jin
重慶市,重庆市,Chong qing
